field_1,field_1_1,grid,rank_x,fid,ADM_DR_NM,rank_y
"0","2388",그리드3211,"1",3211,주안4동,"1"
"1","2068",그리드2783,"2",2783,주안1동,"2"
"2","608",그리드1061,"3",1061,용현5동,"4"
"3","2024",그리드2728,"4",2728,주안1동,"5"
"4","526",그리드941,"5",941,용현5동,"11"
"5","2384",그리드3207,"6",3207,주안6동,"10"
"6","688",그리드1181,"7",1181,학익1동,"9"
"7","2641",그리드3886,"8",3886,관교동,"13"
"8","1145",그리드1698,"9",1698,도화2·3동,"15"
"9","426",그리드808,"10",808,숭의2동,"22"
"10","931",그리드1460,"11",1460,도화2·3동,"19"
"11","1923",그리드2606,"12",2606,도화1동,"20"
"12","254",그리드565,"13",565,숭의1·3동,"25"
"13","2266",그리드3029,"14",3029,주안6동,"21"
"14","1876",그리드2549,"15",2549,주안1동,"18"
"15","119",그리드334,"16",334,용현5동,"27"
"16","2017",그리드2721,"17",2721,주안5동,"30"
"17","636",그리드1110,"18",1110,숭의2동,"31"
"18","1001",그리드1535,"19",1535,용현1·4동,"32"
"19","1247",그리드1816,"20",1816,도화2·3동,"53"
"20","1435",그리드2027,"21",2027,학익1동,"35"
"21","60",그리드215,"22",215,용현5동,"34"
"22","550",그리드983,"23",983,숭의1·3동,"38"
"23","466",그리드864,"24",864,숭의2동,"29"
"24","2423",그리드3269,"25",3269,주안6동,"36"
"25","1773",그리드2428,"26",2428,도화1동,"41"
"26","336",그리드686,"27",686,숭의1·3동,"40"
"27","2172",그리드2909,"28",2909,주안4동,"42"
"28","2498",그리드3390,"29",3390,주안6동,"52"
"29","1459",그리드2060,"30",2060,도화2·3동,"47"
"30","736",그리드1243,"31",1243,학익1동,"65"
"31","628",그리드1102,"34",1102,숭의4동,"54"
"32","1538",그리드2148,"36",2148,학익1동,"63"
"33","766",그리드1280,"37",1280,숭의4동,"61"
"34","1587",그리드2206,"38",2206,학익2동,"69"
"35","833",그리드1352,"40",1352,용현3동,"79"
"36","649",그리드1123,"41",1123,학익1동,"80"
"37","2264",그리드3027,"44",3027,주안6동,"57"
"38","892",그리드1416,"45",1416,용현1·4동,"96"
"39","603",그리드1056,"47",1056,용현1·4동,"106"
"40","1887",그리드2560,"48",2560,주안7동,"66"
"41","2131",그리드2857,"49",2857,주안8동,"88"
"42","1328",그리드1905,"53",1905,학익1동,"97"
"43","477",그리드875,"56",875,용현2동,"110"
"44","1616",그리드2244,"58",2244,도화1동,"99"
"45","601",그리드1054,"59",1054,용현2동,"120"
"46","1986",그리드2680,"71",2680,주안8동,"130"
"47","259",그리드570,"73",570,용현2동,"131"
"48","2032",그리드2736,"77",2736,주안2동,"149"
"49","1475",그리드2076,"78",2076,주안3동,"187"
"50","2349",그리드3149,"88",3149,주안4동,"94"
"51","1585",그리드2204,"96",2204,주안3동,"222"
,,,,3827,관교동,"78"
,,,,2660,주안5동,"83"
,,,,2684,주안7동,"264"
,,,,3278,주안8동,"290"
,,,,3596,문학동,"1097"
,,,,2932,문학동,"1103"
,,,,2571,문학동,"1171"
,"378",그리드744,"32",744,,
,"1090",그리드1636,"33",1636,,
,"2260",그리드3023,"35",3023,,
,"1",그리드36,"42",36,,
,"92",그리드278,"43",278,,
,"195",그리드462,"46",462,,
,"1670",그리드2307,"50",2307,,
,"1354",그리드1938,"52",1938,,
,"998",그리드1532,"55",1532,,
,"793",그리드1307,"57",1307,,
,"332",그리드682,"60",682,,
,"545",그리드978,"61",978,,
,"355",그리드705,"63",705,,
,"1057",그리드1597,"64",1597,,
,"1716",그리드2362,"65",2362,,
,"2120",그리드2846,"66",2846,,
,"960",그리드1489,"67",1489,,
,"874",그리드1398,"68",1398,,
,"1193",그리드1754,"69",1754,,
,"252",그리드563,"70",563,,
,"665",그리드1158,"74",1158,,
,"1147",그리드1700,"75",1700,,
,"645",그리드1119,"76",1119,,
,"935",그리드1464,"79",1464,,
,"587",그리드1040,"80",1040,,
,"1164",그리드1717,"81",1717,,
,"973",그리드1507,"82",1507,,
,"150",그리드392,"83",392,,
,"2064",그리드2779,"84",2779,,
,"2496",그리드3388,"85",3388,,
,"1162",그리드1715,"86",1715,,
,"201",그리드468,"87",468,,
,"138",그리드353,"89",353,,
,"529",그리드944,"90",944,,
,"1189",그리드1750,"91",1750,,
,"261",그리드572,"92",572,,
,"2560",그리드3503,"94",3503,,
,"513",그리드928,"95",928,,
,"264",그리드575,"97",575,,
,"2057",그리드2772,"98",2772,,
,"1479",그리드2080,"99",2080,,
