,grid,rank
2388,3211,1
608,1061,2
2068,2783,3
2020,2724,4
607,1060,5
2069,2784,6
647,1121,7
2024,2728,8
568,1001,9
688,1181,10
2384,3207,11
526,941,12
569,1002,13
646,1120,14
426,808,15
2118,2844,16
2266,3029,17
689,1182,18
1001,1535,19
734,1241,20
1145,1698,21
1197,1758,22
2641,3886,23
931,1460,24
119,334,25
254,565,26
2264,3027,27
2017,2721,28
1923,2606,29
2019,2723,30
1876,2549,31
1435,2027,32
766,1280,33
1247,1816,34
736,1243,35
466,864,36
1144,1697,37
767,1281,38
336,686,39
422,804,40
1196,1757,41
1195,1756,42
2635,3826,43
946,1475,44
1459,2060,45
833,1352,46
1773,2428,47
2423,3269,48
550,983,49
2172,2909,50
87,273,51
378,744,52
201,468,53
1538,2148,54
1143,1696,55
465,863,56
1383,1967,57
380,746,58
549,982,59
2067,2782,60
1924,2607,61
2260,3023,62
777,1291,63
1090,1636,64
425,807,65
1887,2560,66
2498,3390,67
1925,2608,68
1354,1938,69
1460,2061,70
152,394,71
1587,2206,72
2066,2781,73
567,1000,74
1966,2660,75
1589,2208,76
424,806,77
1723,2369,78
985,1519,79
2385,3208,80
291,624,81
628,1102,82
2025,2729,83
292,625,84
892,1416,85
930,1459,86
216,505,87
60,215,88
1147,1700,89
2636,3827,90
1057,1597,91
947,1476,92
1756,2411,93
121,336,94
195,462,95
1616,2244,96
1162,1715,97
636,1110,98
1163,1716,99
289,622,100
332,682,101
2173,2910,102
1722,2368,103
690,1183,104
1974,2668,105
2308,3087,106
1975,2669,107
92,278,108
333,683,109
2265,3028,110
649,1123,111
1094,1640,112
1716,2362,113
165,407,114
2349,3149,115
561,994,116
1328,1905,117
1039,1579,118
891,1415,119
1825,2489,120
1164,1717,121
132,347,122
820,1339,123
2310,3089,124
202,469,125
2032,2736,126
1824,2488,127
1968,2662,128
199,466,129
648,1122,130
1510,2120,131
571,1004,132
1382,1966,133
334,684,134
1986,2680,135
72,227,136
41,164,137
545,978,138
602,1055,139
603,1056,140
2642,3887,141
252,563,142
1757,2412,143
601,1054,144
1193,1754,145
2120,2846,146
71,226,147
101,287,148
237,526,149
484,882,150
714,1221,151
200,467,152
40,163,153
164,406,154
189,456,155
875,1399,156
1434,2026,157
2131,2857,158
42,165,159
529,944,160
611,1064,161
1002,1536,162
1755,2410,163
505,920,164
1873,2546,165
2534,3450,166
39,162,167
1669,2306,168
1486,2087,169
1971,2665,170
513,928,171
506,921,172
43,166,173
1000,1534,174
1588,2207,175
1967,2661,176
1054,1594,177
160,402,178
215,504,179
1667,2304,180
190,457,181
58,213,182
1,36,183
1760,2415,184
1216,1777,185
290,623,186
2497,3389,187
1511,2121,188
1758,2413,189
1705,2351,190
1720,2366,191
1161,1714,192
1717,2363,193
1537,2147,194
1670,2307,195
713,1220,196
1759,2414,197
2459,3328,198
973,1507,199
1111,1657,200
1108,1654,201
932,1461,202
1475,2076,203
1590,2209,204
63,218,205
1353,1937,206
1659,2296,207
1109,1655,208
1823,2487,209
1550,2169,210
477,875,211
989,1523,212
138,353,213
170,412,214
261,572,215
217,506,216
609,1062,217
2022,2726,218
255,566,219
243,532,220
281,592,221
227,516,222
2016,2720,223
1721,2367,224
943,1472,225
1165,1718,226
487,885,227
366,716,228
793,1307,229
1055,1595,230
1654,2291,231
2560,3503,232
604,1057,233
275,586,234
986,1520,235
118,333,236
847,1366,237
166,408,238
520,935,239
610,1063,240
563,996,241
2261,3024,242
70,225,243
527,942,244
365,715,245
1539,2149,246
2028,2732,247
562,995,248
223,512,249
998,1532,250
1926,2609,251
819,1338,252
1611,2239,253
645,1119,254
2214,2963,255
2461,3330,256
1535,2145,257
2064,2779,258
38,161,259
945,1474,260
1877,2550,261
665,1158,262
876,1400,263
137,352,264
280,591,265
311,644,266
318,651,267
403,769,268
239,528,269
279,590,270
319,652,271
62,217,272
264,575,273
150,392,274
2010,2714,275
90,276,276
358,708,277
1329,1906,278
507,922,279
163,405,280
2496,3388,281
836,1355,282
133,348,283
361,711,284
441,823,285
184,451,286
415,797,287
724,1231,288
546,979,289
2348,3148,290
1776,2431,291
443,825,292
792,1306,293
294,627,294
605,1058,295
1485,2086,296
2121,2847,297
2207,2956,298
2311,3090,299
1666,2303,300
2259,3022,301
317,650,302
960,1489,303
1406,1998,304
1268,1837,305
242,531,306
423,805,307
556,989,308
448,830,309
548,981,310
1536,2146,311
1615,2243,312
103,289,313
570,1003,314
1655,2292,315
1715,2361,316
276,587,317
532,947,318
1053,1593,319
492,890,320
9,44,321
2027,2731,322
528,943,323
486,884,324
1204,1765,325
2417,3263,326
635,1109,327
360,710,328
735,1242,329
1508,2118,330
241,530,331
447,829,332
2432,3278,333
153,395,334
521,936,335
37,160,336
1557,2176,337
196,463,338
400,766,339
774,1288,340
10,45,341
278,589,342
737,1244,343
253,564,344
1198,1759,345
404,770,346
2162,2899,347
616,1069,348
240,529,349
1500,2110,350
198,465,351
1714,2360,352
313,646,353
822,1341,354
2014,2718,355
57,180,356
573,1006,357
1703,2349,358
315,648,359
1985,2679,360
1713,2359,361
1704,2350,362
1091,1637,363
664,1157,364
988,1522,365
1303,1880,366
606,1059,367
1246,1815,368
489,887,369
1448,2049,370
263,574,371
1026,1566,372
638,1112,373
1774,2429,374
2263,3026,375
677,1170,376
1585,2204,377
691,1184,378
790,1304,379
2029,2733,380
544,977,381
1458,2059,382
2166,2903,383
2217,2966,384
226,515,385
316,649,386
2267,3030,387
320,653,388
204,471,389
935,1464,390
15,98,391
129,344,392
259,570,393
1040,1580,394
2218,2967,395
1205,1766,396
2117,2843,397
2015,2719,398
678,1171,399
2108,2834,400
874,1398,401
421,803,402
371,737,403
1330,1907,404
296,629,405
1487,2088,406
1937,2620,407
186,453,408
327,676,409
359,709,410
370,736,411
205,472,412
131,346,413
2342,3142,414
405,771,415
574,1007,416
1965,2659,417
56,179,418
572,1005,419
787,1301,420
1828,2492,421
2155,2892,422
356,706,423
553,986,424
687,1180,425
1806,2470,426
2057,2772,427
2059,2774,428
2106,2832,429
68,223,430
206,473,431
613,1066,432
1652,2289,433
1617,2245,434
277,588,435
1711,2357,436
2418,3264,437
203,470,438
362,712,439
1959,2653,440
17,100,441
22,105,442
187,454,443
652,1126,444
485,883,445
637,1111,446
1614,2242,447
298,631,448
1514,2124,449
841,1360,450
1137,1690,451
1710,2356,452
120,335,453
1215,1776,454
314,647,455
384,750,456
1562,2181,457
21,104,458
2206,2955,459
1827,2491,460
534,949,461
2008,2712,462
97,283,463
471,869,464
584,1037,465
1566,2185,466
2452,3321,467
185,452,468
1983,2677,469
214,503,470
552,985,471
11,46,472
1304,1881,473
2163,2900,474
2526,3442,475
470,868,476
555,988,477
1509,2119,478
100,286,479
530,945,480
1554,2173,481
933,1462,482
99,285,483
262,573,484
321,654,485
693,1186,486
849,1368,487
188,455,488
2065,2780,489
1919,2602,490
23,106,491
2159,2896,492
124,339,493
491,889,494
1551,2170,495
2071,2786,496
1708,2354,497
143,358,498
171,413,499
991,1525,500
1166,1719,501
1327,1904,502
55,178,503
355,705,504
846,1365,505
14,97,506
328,677,507
8,43,508
142,357,509
1558,2177,510
1436,2028,511
1712,2358,512
238,527,513
533,948,514
1990,2684,515
511,926,516
2018,2722,517
653,1127,518
69,224,519
654,1128,520
2009,2713,521
1113,1659,522
1405,1997,523
2157,2894,524
130,345,525
388,754,526
575,1008,527
1601,2229,528
1612,2240,529
1761,2416,530
1618,2246,531
1355,1939,532
2252,3014,533
2058,2773,534
98,284,535
566,999,536
669,1162,537
1398,1990,538
1251,1820,539
244,533,540
458,856,541
490,888,542
781,1295,543
1978,2672,544
1118,1664,545
1707,2353,546
16,99,547
402,768,548
1564,2183,549
1709,2355,550
445,827,551
481,879,552
1115,1661,553
972,1506,554
2007,2711,555
944,1473,556
1533,2143,557
1857,2530,558
1602,2230,559
2026,2730,560
169,411,561
322,655,562
2253,3015,563
148,390,564
934,1463,565
1908,2591,566
469,867,567
85,240,568
639,1113,569
999,1533,570
1332,1909,571
2012,2716,572
887,1411,573
1130,1683,574
282,593,575
346,696,576
406,772,577
576,1009,578
615,1068,579
1407,1999,580
1768,2423,581
1826,2490,582
2030,2734,583
1909,2592,584
525,940,585
1084,1630,586
694,1187,587
73,228,588
919,1448,589
2216,2965,590
536,951,591
482,880,592
1092,1638,593
2205,2954,594
831,1350,595
427,809,596
739,1246,597
115,330,598
162,404,599
395,761,600
1404,1996,601
612,1065,602
442,824,603
764,1278,604
2156,2893,605
24,107,606
464,862,607
1662,2299,608
1811,2475,609
83,238,610
449,831,611
531,946,612
1148,1701,613
236,525,614
300,633,615
679,1172,616
524,939,617
1549,2168,618
265,576,619
990,1524,620
1302,1879,621
2499,3391,622
112,298,623
579,1012,624
1808,2472,625
106,292,626
363,713,627
711,1218,628
122,337,629
2489,3381,630
1079,1625,631
1025,1565,632
1560,2179,633
7,42,634
30,113,635
502,917,636
439,821,637
1250,1819,638
84,239,639
225,514,640
368,718,641
848,1367,642
20,103,643
2300,3079,644
535,950,645
1499,2109,646
2011,2715,647
650,1124,648
123,338,649
2107,2833,650
411,777,651
1608,2236,652
617,1070,653
483,881,654
2074,2789,655
446,828,656
105,291,657
789,1303,658
587,1040,659
54,177,660
651,1125,661
1042,1582,662
2302,3081,663
2415,3261,664
480,878,665
1461,2062,666
1858,2531,667
890,1414,668
2460,3329,669
1473,2074,670
260,571,671
1561,2180,672
1112,1658,673
1960,2654,674
614,1067,675
1038,1578,676
1041,1581,677
1171,1724,678
1604,2232,679
868,1392,680
110,296,681
1565,2184,682
1706,2352,683
293,626,684
1183,1744,685
623,1097,686
2307,3086,687
2506,3398,688
510,925,689
416,798,690
1371,1955,691
1502,2112,692
1642,2270,693
2490,3382,694
1829,2493,695
1449,2050,696
600,1053,697
757,1271,698
197,464,699
323,656,700
863,1387,701
1342,1926,702
1513,2123,703
339,689,704
1807,2471,705
1934,2617,706
1530,2140,707
111,297,708
1052,1592,709
1957,2651,710
379,745,711
357,707,712
776,1290,713
865,1389,714
1045,1585,715
488,886,716
765,1279,717
2462,3331,718
786,1300,719
1194,1755,720
717,1224,721
29,112,722
433,815,723
459,857,724
722,1229,725
565,998,726
1621,2249,727
1610,2238,728
438,820,729
2454,3323,730
179,446,731
641,1115,732
826,1345,733
25,108,734
564,997,735
44,167,736
220,509,737
67,222,738
523,938,739
74,229,740
974,1508,741
1498,2108,742
2469,3338,743
274,585,744
794,1308,745
969,1503,746
376,742,747
414,796,748
295,628,749
2013,2717,750
738,1245,751
401,767,752
2031,2735,753
2204,2953,754
987,1521,755
1258,1827,756
860,1384,757
53,176,758
1661,2298,759
1888,2561,760
2109,2835,761
1300,1877,762
393,759,763
1093,1639,764
2072,2787,765
1095,1641,766
1223,1784,767
1972,2666,768
1379,1963,769
2383,3206,770
364,714,771
1911,2594,772
50,173,773
51,174,774
869,1393,775
1200,1761,776
1184,1745,777
522,937,778
417,799,779
1619,2247,780
850,1369,781
2,37,782
324,657,783
283,594,784
1859,2532,785
2110,2836,786
234,523,787
407,773,788
1185,1746,789
6,41,790
107,293,791
515,930,792
835,1354,793
1836,2500,794
509,924,795
437,819,796
207,474,797
1559,2178,798
1653,2290,799
460,858,800
1167,1720,801
644,1118,802
1022,1562,803
228,517,804
19,102,805
791,1305,806
804,1323,807
2209,2958,808
461,859,809
1910,2593,810
1775,2430,811
667,1160,812
450,832,813
723,1230,814
1958,2652,815
1431,2023,816
1553,2172,817
1657,2294,818
920,1449,819
655,1129,820
2208,2957,821
1639,2267,822
577,1010,823
2211,2960,824
971,1505,825
52,175,826
1457,2058,827
775,1289,828
1189,1750,829
640,1114,830
1201,1762,831
1064,1604,832
1912,2595,833
479,877,834
144,359,835
996,1530,836
235,524,837
1609,2237,838
26,109,839
493,891,840
82,237,841
1479,2080,842
627,1101,843
1424,2016,844
2304,3083,845
49,172,846
888,1412,847
420,802,848
832,1351,849
1107,1653,850
2386,3209,851
180,447,852
389,755,853
2298,3077,854
136,351,855
692,1185,856
1301,1878,857
558,991,858
2587,3537,859
28,111,860
2178,2915,861
367,717,862
155,397,863
1140,1693,864
1656,2293,865
728,1235,866
758,1272,867
1344,1928,868
2299,3078,869
45,168,870
1730,2376,871
1569,2188,872
2425,3271,873
1280,1849,874
2223,2972,875
399,765,876
245,534,877
710,1217,878
454,836,879
769,1283,880
864,1388,881
501,916,882
578,1011,883
2565,3508,884
1563,2182,885
108,294,886
128,343,887
394,760,888
27,110,889
1050,1590,890
1603,2231,891
1979,2673,892
1202,1763,893
1724,2370,894
780,1294,895
2215,2964,896
1567,2186,897
113,299,898
942,1471,899
1351,1935,900
372,738,901
1830,2494,902
1719,2365,903
719,1226,904
593,1046,905
1213,1774,906
5,40,907
397,763,908
554,987,909
916,1445,910
968,1502,911
1146,1699,912
1397,1989,913
1235,1804,914
984,1518,915
1099,1645,916
881,1405,917
975,1509,918
712,1219,919
1385,1969,920
473,871,921
1555,2174,922
1679,2316,923
2158,2895,924
102,288,925
312,645,926
936,1465,927
808,1327,928
172,414,929
877,1401,930
2455,3324,931
2647,3946,932
727,1234,933
1218,1779,934
2586,3536,935
857,1381,936
299,632,937
81,236,938
2061,2776,939
2605,3597,940
795,1309,941
905,1429,942
1832,2496,943
992,1526,944
1078,1624,945
914,1443,946
444,826,947
1780,2435,948
802,1321,949
462,860,950
1333,1910,951
1403,1995,952
2073,2788,953
161,403,954
1322,1899,955
77,232,956
740,1247,957
156,398,958
547,980,959
373,739,960
1133,1686,961
1290,1867,962
451,833,963
1480,2081,964
2301,3080,965
805,1324,966
1135,1688,967
1497,2107,968
1817,2481,969
751,1264,970
1270,1839,971
1917,2600,972
374,740,973
586,1039,974
1962,2656,975
34,157,976
1027,1567,977
18,101,978
173,415,979
408,774,980
1236,1805,981
96,282,982
752,1265,983
1867,2540,984
382,748,985
2379,3202,986
867,1391,987
770,1284,988
1275,1844,989
1289,1866,990
273,584,991
1889,2562,992
995,1529,993
1394,1986,994
1782,2437,995
2023,2727,996
250,539,997
1372,1956,998
326,659,999
176,418,1000
961,1490,1001
1237,1806,1002
768,1282,1003
114,300,1004
716,1223,1005
618,1071,1006
1199,1760,1007
175,417,1008
338,688,1009
929,1458,1010
174,416,1011
676,1169,1012
48,171,1013
79,234,1014
1299,1876,1015
1321,1898,1016
4,39,1017
