,grid,rank
3734,5602,1
3735,5601,2
1818,7005,3
2078,6645,4
316,3643,5
1638,6662,6
3736,5600,7
2081,6650,8
1678,6738,9
1592,6834,10
1584,6826,11
1731,7093,12
2346,7183,13
2489,7449,14
2198,7719,15
1772,6922,16
1819,7004,17
2888,4291,18
2302,7357,19
3748,5612,20
1729,7095,21
3435,6133,22
2532,7537,23
3375,6045,24
1148,8601,25
3185,5775,26
1639,6661,27
825,3559,28
194,3731,29
1994,6230,30
195,3730,31
3240,5859,32
1906,6332,33
1770,6916,34
3206,5794,35
1773,6921,36
2357,7188,37
1732,7092,38
3236,5855,39
3425,6127,40
1977,6215,41
2350,7187,42
3320,5706,43
3359,6029,44
897,3395,45
1686,6746,46
1984,6216,47
3187,5773,48
2450,7630,49
2039,6575,50
2109,6422,51
2257,8157,52
2024,6558,53
2882,4281,54
2080,6651,55
3290,5672,56
3101,4368,57
1679,6737,58
3157,4458,59
3471,5942,60
1905,6333,61
3306,5688,62
3749,5619,63
2218,7740,64
779,3484,65
3237,5854,66
3099,4370,67
624,3296,68
1983,6217,69
3243,5856,70
3741,5611,71
2493,7453,72
629,3307,73
3158,4457,74
2195,7714,75
1132,8248,76
1771,6923,77
1778,6924,78
3242,5857,79
3264,5883,80
1643,6665,81
3251,5864,82
1637,6663,83
2077,6646,84
2471,7649,85
1733,7099,86
2177,7891,87
2040,6574,88
3100,4369,89
3192,5776,90
1735,7097,91
2401,7277,92
3166,4465,93
2111,6420,94
2182,7892,95
3265,5882,96
3241,5858,97
217,3748,98
1740,7100,99
453,4087,100
1593,6833,101
2139,6487,102
1690,6750,103
1822,7009,104
1823,7008,105
3745,5615,106
2203,7720,107
3300,5686,108
3470,5943,109
318,3641,110
631,3305,111
1674,6734,112
3686,5523,113
2041,6573,114
2090,6401,115
1899,6331,116
2239,8071,117
1878,6304,118
2214,7739,119
563,3218,120
3188,5772,121
1730,7094,122
2881,4282,123
99,2322,124
904,3396,125
100,2321,126
2490,7448,127
155,2410,128
1687,6745,129
2110,6421,130
2473,7652,131
3360,6028,132
339,3660,133
2310,7365,134
156,2409,135
3365,6039,136
3299,5687,137
3738,5606,138
2005,6243,139
2630,4633,140
43,2497,141
562,3219,142
329,3654,143
3323,5711,144
1941,6145,145
2631,4632,146
2105,6418,147
2108,6423,148
2867,4264,149
768,3479,150
3475,5946,151
273,3829,152
1765,6913,153
196,3729,154
330,3653,155
2398,7272,156
2483,7447,157
207,3742,158
2455,7633,159
2444,7620,160
519,3917,161
3186,5774,162
844,3572,163
2402,7276,164
3701,5532,165
1820,7011,166
2528,7533,167
3053,4544,168
2332,7389,169
3388,6056,170
3321,5705,171
1675,6733,172
2010,6246,173
2529,7532,174
3688,5521,175
406,4008,176
520,3916,177
2012,6244,178
2043,6579,179
2307,7360,180
2454,7634,181
3052,4545,182
204,3737,183
3432,6128,184
321,3646,185
2449,7631,186
835,3565,187
840,3568,188
1920,6382,189
457,4091,190
564,3217,191
2866,4265,192
2242,8068,193
2150,6492,194
2492,7454,195
2395,7275,196
164,2417,197
1265,1561,198
2993,4195,199
2229,7803,200
1619,6862,201
2300,7359,202
3687,5522,203
630,3306,204
772,3483,205
899,3393,206
391,3999,207
2352,7185,208
1942,6144,209
3693,5524,210
834,3566,211
317,3642,212
514,3914,213
458,4090,214
773,3482,215
2887,4284,216
2202,7721,217
2533,7536,218
325,3650,219
3503,5974,220
1507,1471,221
2443,7621,222
2534,7543,223
1978,6214,224
1565,1382,225
2535,7542,226
1297,1650,227
1634,6658,228
3691,5526,229
1513,1472,230
3729,5599,231
1642,6666,232
3398,6070,233
903,3397,234
2537,7540,235
463,4093,236
272,3830,237
224,3757,238
826,3558,239
2895,4292,240
513,3915,241
2082,6649,242
3269,5886,243
1761,7125,244
1596,6838,245
1535,1292,246
843,3573,247
3746,5614,248
1149,8600,249
2447,7625,250
3441,6143,251
3694,5531,252
3690,5527,253
2269,7979,254
1766,6912,255
3442,6142,256
557,3208,257
774,3481,258
3479,5950,259
2472,7648,260
