,대여소번호,일별평균이용량,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이
1478,1101,8.668493151,0,999.46,0,0,0,0,4841.22,0,150.3716913,4021.97631,335.7260523,47.27905112,6,11194,999.8071537
723,1102,57.51780822,0,24272.63,0,0,2095.04,0,16634.0799,0,67.29655106,2908.369332,430.0997036,26.64480094,0.5,21002,1230.732102
689,1103,60.69315068,0,15823.22,0,0,42838.743,0,36472.22,2772.84,87.36648746,3302.969415,54.31186266,46.58715644,0.5,10309,372.6898232
1448,1105,13.38219178,0,0,0,0,0,0,34548.08,0,148.0861031,3789.648586,463.6611616,288.3427556,3,10309,200.0092089
569,1106,67.08356164,0,11549.51,0,896.89,0,1083.6,24983.66,0,229.5148514,2843.113349,589.4725016,25.14226487,0.5,31311,941.7399842
1055,1108,34.96438356,14012.28,10666.94,0,749.72,5909.29,0,8021.85,2910.43,259.3543168,1814.326032,50.15474924,72.22363409,0.333333333,27269,1254.726665
1271,1109,23.98767123,14012.28,11156.27,0,749.72,5909.29,0,3908.52,2910.43,297.3018287,1785.784215,45.35953133,66.68950701,0.333333333,27269,977.5165789
1114,1110,30.76164384,20125.51,764.92,0,0,0,0,2948.14,0,254.9912162,1697.999854,411.9181333,34.38936222,0.5,37077,906.4256894
883,1111,44.01232877,0,0,0,0,0,0,0,0,506.0295977,2271.7174,463.3547392,24.21583227,0,43641,321.8139506
95,1112,142.7328767,0,0,0,0,0,0,24428.8,0,586.636049,2528.281431,439.2297961,181.0606132,0.5,22639,380.2850971
650,1113,60.42328767,0,2738.29,0,0,0,0,45181.87,0,214.7198115,2949.413484,830.9662729,25.0767547,0.5,53950,766.9534742
1453,1114,4.415068493,0,0,0,0,0,0,0,0,501.4316289,2885.402914,667.8556286,90.54797187,1,22639,511.6185317
759,1115,50.40821918,610.25,10617.84,0,2913.08,55040.83,0,7619.68,0,106.0183454,928.851947,182.0246789,91.42629007,1.2,37547,873.2825329
261,1117,103.9191781,4736.91,31182.056,0,0,9737.05,0,5135.49,0,132.0053438,851.394194,584.2368902,35.57525031,3.285714286,35596,830.4731964
149,1118,134.909589,0,17080.46,0,0,37865.44,0,12925.75,55677.62,48.20959552,1169.208333,42.99815514,27.66861469,0.5,22396,332.5367618
371,1119,89.52739726,9250.79,7097.59,0,0,3223.56,0,55288.41,0,382.8032172,1328.540093,434.5965762,34.45454043,2.166666667,38180,393.3812418
493,1120,74.13287671,0,0,0,0,0,0,102300.06,0,96.75745165,1841.965762,423.4839361,76.86159355,0.5,5772,277.4904254
576,1121,61.8630137,16310.95,2394.98,0,0,0,0,23962.71,0,121.2416486,1500.242794,315.6850881,54.92657317,3.428571429,7079,259.2218684
368,1122,97.28082192,4059.7,74.34,0,0,0,0,0,0,15.50808708,1704.200722,530.9051292,218.4204649,1.125,29942,370.3137504
180,1124,3648.25,0,30498.21,5032.96,0,5561.42,0,10765.88,0,84.43285469,930.9129184,88.7775482,36.69143288,0,76481,790.1684444
385,1125,93.59178082,5516.48,13505.6,0,0,3860.93,12061.81,17646.75,0,309.0551199,644.8614541,460.6956966,25.96132605,3,40109,917.5145008
574,1126,49.91917808,0,13827.69,0,0,0,0,57589.24,18077.79,208.443347,618.7874595,26.64860606,38.86256199,2.5,40109,383.852919
600,1127,57.62191781,14321.99,46115.41,0,0,6073.86,0,15070.44,0,341.1650815,1142.310373,179.1617172,28.31792718,2,39627,843.5466277
905,1128,44.73287671,1097.29,30769.51,0,0,24499.274,0,13605.43,0,226.0892925,1050.783645,23.67819659,90.79108142,2,80847,873.7963638
631,1129,59.83150685,7682.28,27131.35,0,487.28,17471.274,4606.3,5663.63,0,166.9108364,977.4008316,68.48757483,73.88472598,2.25,80847,865.4467276
1222,1130,23.98767123,574.42,24380.91,0,0,5142.47,9514.05,7391.49,0,101.311683,869.41723,235.2004123,13.89139183,2,41220,1244.255723
430,1131,76.67808219,1350.02,5906.54,0,12771.49,12834.45,1648,21129.39,0,56.26339127,497.7358627,703.2833083,35.05331748,2.75,41220,1215.091156
572,1132,63.03835616,610.25,19487.32,0,2913.08,56537.82,0,10407.22,0,157.7671599,875.9306965,182.8786256,104.7499805,1.5,37547,1081.693533
601,1135,53.1369863,9674.94,8867.13,0,0,12160.11,9304.89,15990.04,0,219.5519055,763.0604174,532.9799122,158.5474485,2.4,22230,1085.106352
1115,1136,26.25616438,0,12761.655,0,0,0,0,52895.8982,0,252.1566089,800.0617409,725.9321386,27.61602658,2.5,22230,735.795249
1297,1137,14.73424658,0,567.68,0,0,2130.1,0,96414.412,0,109.055403,1118.889763,1044.254303,63.297867,5.5,22230,784.8902949
703,1139,49.29726027,0,23261.605,0,0,0,0,24455.34,0,208.3981637,1516.167686,1220.522179,37.56939945,3.625,23822,1064.627482
504,1140,61.35890411,3094.01,25141.05,5672.34,1569.92,0,4352.02,13554.75,0,60.47111225,2077.890458,603.4261365,29.58942631,1.5,23466,982.2951952
554,1141,67.93287671,13128.78,9817.32,0,8933.68,0,0,5110.26,0,106.3052313,2228.561148,339.950072,63.40000249,1,42158,1246.038295
918,1145,38.87260274,13128.78,10758.62,0,15818.75,0,0,2561.42,0,144.5421995,2252.108007,339.5612778,59.76738907,1,42158,1221.719209
808,1146,54.64520548,0,21221.12,0,4717.59,0,1702.68,19854.646,0,121.5557942,2288.256206,761.4875394,43.60740994,0.666666667,38521,1106.319867
1028,1148,34.37671233,0,5875.01,0,0,0,0,41633.47,0,33.84418291,1018.866045,381.7316799,155.7864057,2.75,19357,1045.667459
158,1149,137.6287671,0,0,0,0,0,0,0,0,199.1871442,2229.621295,150.4347595,102.4143287,1,21002,584.6136667
298,1150,103.6534247,0,16231.25,0,0,0,0,9699.45,0,122.3256677,1589.774049,138.189417,32.37088612,0.5,16075,693.3785205
653,1151,36.08219178,0,0,0,0,0,0,0,0,788.610316,1645.805717,174.7658915,172.3731789,0,56960,384.8343506
492,1152,98.7630137,0,0,0,0,0,0,0,0,765.3690784,1670.851724,197.3932352,93.65854658,0.666666667,40885,538.8624985
33,1153,206.6849315,0,28574.54,0,0,0,0,0,0,55.8850693,1031.626722,51.34001281,55.95168811,0,76481,888.5299292
440,1155,72.81780822,28383.95,20.52,0,0,0,0,57571.81,0,65.21305652,2124.259455,633.5670218,54.77616864,0.666666667,28411,309.519425
488,1157,82.50958904,619.38,6261.44,0,0,15254.89,0,38888.01,0,135.3867255,462.141214,1207.100675,46.39805793,1,13255,629.2587068
34,1158,179.5452055,11990.36,2649.38,0,0,40387.85,0,25510.46,0,204.0635664,1381.417683,50.56321496,87.9090349,0.5,41901,509.3620178
612,1159,57.94520548,0,4621.11,0,0,0,0,0,0,336.442792,1722.004739,543.0694713,146.2774254,0,22639,268.0447267
1350,1161,15.37808219,0,0,0,0,0,0,0,0,439.9192329,561.6786672,1271.405715,29.25347509,1,18246,182.2153245
676,1162,51.26986301,0,0,0,0,0,0,0,0,505.5422903,1781.49009,519.5668552,49.99883052,0.333333333,59716,395.0246715
875,1163,42.91506849,0,4357.4,0,0,4989.43,0,36523.08,0,141.6723194,2610.373686,450.6890734,172.6820535,0.5,21002,441.6761801
1067,1165,27.26164384,0,1110.6,0,0,0,0,24571.21,0,407.7633658,2423.229397,457.3003161,75.77574951,0.5,43641,286.0325915
175,1166,108.2684932,4208.58,0,0,0,0,0,76884.17,0,107.5774555,1333.726907,611.2138564,54.07545192,0,13733,393.2079209
198,1167,100.4027397,17991.24,16606.02,0,0,0,0,36477.86,0,546.690099,1249.674679,746.6087052,23.90214827,1,18246,389.6569741
