,fid,교육시설_sum,근린생활시설_sum,문화시설_sum,숙박시설_sum,업무시설_sum,의료시설_sum,주거시설_sum,판매시설_sum,공원_distance,대학교_distance,버스_distance,지하철_distance,거주인구,도로길이,경사도_mean
0,2171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1924.0456746552293,1992.2876494722625,1255.2292464382604,1368.6428548189383,2704.876,0.0,0.5
1,2170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878.0815769203352,2021.596259532844,1180.729040151784,1287.9149444612956,2704.876,0.0,0.5
2,2169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.5783256576328,2055.357060367236,1094.2460247819931,1210.0687522820533,2704.876,0.0,0.5
3,2168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1770.466752202672,2093.3546535108,1010.2611040418096,1135.6970138665383,2704.876,0.0,0.5
4,2175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2106.8526896015765,1923.185678034136,1256.64469680646,1712.0207689241104,2704.876,0.0,1.5
5,2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.919584812294,1932.9472593998407,1350.068436884771,1623.747945181142,2704.876,0.0,1.0
6,2173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2027.676996385152,1947.800532336412,1396.1468514399232,1536.9123288926803,2704.876,0.0,0.5
7,2172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974.00936054649,1967.630191535044,1325.266381679078,1451.7718363754757,2704.876,0.0,0.0
8,2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1667.12340951159,1705.3698436402617,1039.7225261283947,1221.9555489725642,2704.876,0.0,0.0
9,2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1613.8584482846404,1739.5193811010352,972.0162992040424,1130.803685555651,2704.876,0.0,0.0
10,2433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1565.176530316029,1778.6424329215542,901.1031403445415,1041.2773072008936,2704.876,0.0,0.5
11,2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1521.5176313146003,1822.4187182091227,831.4179807596464,953.8342252958632,2704.876,0.0,0.5
12,2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1838.8039073194705,1624.1057054076723,1175.0636167531827,1597.1873257427994,2704.876,0.0,0.0
13,2438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1792.910511507122,1635.6531730963509,1253.8925182909695,1502.18161039578,2704.876,0.0,0.5
14,2437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751.5296880895476,1653.179698736008,1178.6948764233196,1407.8677748064952,2704.876,0.0,1.0
15,2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.9881187699375,1676.4977731230915,1107.4279310037823,1314.3947640230826,2704.876,0.0,0.5
16,2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2061.0398277510926,1639.2528890658157,783.059390111675,1982.1293704887405,2704.876,0.0,0.5
17,2442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.30348976258,1626.2818271523631,880.3864893334733,1885.3062626439007,2704.876,0.0,0.5
18,2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942.8182581017188,1619.393399291631,978.2528169241144,1788.832694856755,2704.876,0.0,0.5
19,2440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888.8809835864488,1618.665263524368,1076.5113181433392,1692.768430719186,2704.876,0.0,0.5
20,2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2285.799146748735,1748.3072897876573,402.7725917771384,2372.058984765305,2704.876,0.0,1.0
21,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225.6200640795632,1712.9569501969645,495.7377905038222,2274.248736463333,2704.876,0.0,1.0
22,2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2168.3845265184086,1682.814458061568,591.0042250296814,2176.6374633900195,2704.876,0.0,0.5
23,2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.331595306054,1658.1638461326731,686.5009011851338,2079.253188621192,2704.876,0.0,0.5
24,2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2551.636448703426,1935.459732976396,167.64063925368524,2764.866779982319,2704.876,0.0,0.0
25,2450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2481.8050038828924,1882.4579937844403,177.86010481313983,2666.4644052836734,2704.876,0.0,0.0
26,2449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2414.096817260336,1833.3825765753504,234.8720729720139,2568.185425913168,2704.876,0.0,0.0
27,2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2348.695523851512,1788.5567083936314,314.1582487596251,2470.0445709994065,2704.876,104.23701478457724,0.5
28,2453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.1304476657697,2052.0030451130942,284.67743234338445,2961.9925075365527,2704.876,34.338031794513256,0.0
29,2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2623.421603600143,1992.074424035196,211.1217463833044,2863.379828289394,2704.876,104.616838567352,0.0
30,2473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1612.037037265177,5742.519918044517,1064.3453233872556,2086.1041583784154,3669.111,0.0,1.0
31,2487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279.2437203182272,4407.906812110206,336.5589595526848,694.4023969017825,3669.111,309.7980073613359,0.5
32,2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.80875069885366,4501.91943439464,428.5102234812898,792.8418985668199,3669.111,35.61818008283519,0.0
33,2491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.88222769652333,4034.736235244447,178.53303421348437,310.7712382653791,3669.111,66.91782492485508,0.5
34,2490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.69150016818128,4127.557776794096,149.0763323305563,403.71150673272246,3669.111,183.38090641800528,0.5
35,2489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.61883367637617,4220.707259185016,180.4807576199432,499.3866649147201,3669.111,26.45255335052259,1.0
36,2488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.9220213938636,4314.163440213875,250.84397009855985,596.4821403950458,3669.111,101.12073746667228,1.0
37,2495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0945175702234,3667.226224108024,201.7262218513918,175.95542875348323,3669.111,123.52353254282282,0.0
38,2494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.81003491499246,3758.4818045076304,160.8187286171573,131.77693985239756,3669.111,86.96488953375821,0.0
39,2493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.60485247957166,3850.1717656509777,176.15817014266332,154.1747487040163,3669.111,0.0,0.0
40,2492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.38559632284125,3942.2657989295935,237.0666169726096,223.9963988320175,3669.111,0.0,0.5
41,2499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.1343307476708,3307.2643584449825,500.9154225070288,534.1716390300944,3669.111,0.0,0.0
42,2498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,516.2721810888863,3396.415082981073,452.9734419976532,437.88676589545696,3669.111,0.0,0.0
43,2497,0.0,0.0,0.0,0.0,9159.44,0.0,0.0,0.0,465.3148751650133,3486.1544930395034,361.0465432924785,343.7297511754997,3669.111,0.0,0.0
44,2496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.8550057111008,3576.438275292811,274.81651375309,254.0773626853554,3669.111,21.17193531327717,0.0
45,2503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.995826618178,2957.6079120693216,674.6303684523222,867.6891278790233,3186.9935,0.0,0.5
46,2502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,816.4628227290309,3043.859889025954,655.7335962182918,828.324787916403,3669.111,0.0,0.5
47,2501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,732.5251734078306,3130.9297885310734,591.8586044327725,729.7450974191759,3669.111,0.0,0.5
48,2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.1267589686224,3218.7512348097566,539.0793182894031,631.6119872433882,3669.111,0.0,0.5
49,2507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.4043466712899,2622.382362178256,425.5792995674712,612.4971085683146,2704.876,0.0,0.0
50,2506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.2476311890441,2704.5384632494342,470.6353577926615,693.3194229621655,2704.876,0.0,0.5
51,2505,0.0,1154.81,0.0,0.0,0.0,0.0,0.0,0.0,898.6722452387022,2787.8606850278584,530.9212600946016,778.6082333352979,2704.876,4.269532671201955,1.0
52,2504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.769480396243,2872.2475438636657,601.8778725484693,867.0464718116918,3186.9935,136.07260334992293,1.0
53,2511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.9806360154804,2307.884661857593,182.9544851775992,391.1453643479677,2704.876,0.0,1.0
54,2510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,956.646285499712,2384.108059925671,238.16774393562864,422.53335049309055,2704.876,0.0,0.5
55,2509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.6730732826068,2462.0338593461865,316.188626455833,473.3645667091512,2704.876,0.0,0.5
56,2508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,903.6937659232234,2541.5054715508622,387.32252066905727,538.1574474607395,2704.876,0.0,0.0
57,2515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.4212095859707,2023.8012843249107,374.7861358802986,500.83350145914056,2704.876,0.0,0.0
58,2514,0.0,0.0,0.0,0.0,0.0,1768.72,0.0,0.0,1105.2430838552775,2091.270391567208,289.33856929976906,443.1416865882993,2704.876,0.0,0.0
59,2513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1063.2196712596642,2161.2616493744727,216.72288841399345,402.38632818097057,2704.876,0.0,0.5
60,2512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.2277269726678,2233.5379642290336,173.84089186253044,383.99844313058776,2704.876,0.0,1.0
61,2519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.2169896469877,1784.715476336229,690.2707078089636,817.7231856825817,2704.876,0.0,0.5
62,2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.437649639969,1839.252600088617,629.0805396272234,730.8982067227862,2704.876,0.0,0.5
63,2517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.8028909397704,1897.4959226749409,560.3212074362166,647.8834874279609,2704.876,0.0,0.0
64,2516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.8819089275285,1959.1149227164017,466.0604362700187,570.3452309632454,2704.876,0.0,0.0
65,2523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584.8500499281656,1610.7900830154445,966.0510736876514,1185.9619440388356,2704.876,0.0,0.0
66,2522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.7211327627735,1646.901961331141,898.3632540181321,1091.8092025956016,2704.876,0.0,0.5
67,2521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.2361947279137,1688.1727705197522,830.6153851621884,998.7936631482193,2704.876,0.0,0.5
68,2520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.8966072117787,1734.2342374094014,759.7399689880738,907.265161197204,2704.876,0.0,1.0
69,2527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751.7581569092984,1524.4926102238096,1163.0321589972823,1569.820935359448,2704.876,0.0,0.5
70,2526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1703.5213311907223,1536.788756002131,1192.488853767898,1473.0512527525227,2704.876,0.0,0.5
71,2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.9135716922144,1555.429682340208,1113.1508534966176,1376.7432810408252,2704.876,0.0,0.5
72,2524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1621.308440518099,1580.190864112894,1037.390874344991,1281.001161219334,2704.876,0.0,0.5
73,2531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0404839995024,1540.6194899249303,764.8864451199495,1960.144718522656,2704.876,0.0,0.5
74,2530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920.5912913968568,1526.8107145054566,864.2624851590001,1862.178875318045,2704.876,0.0,0.5
75,2529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.644950461894,1519.4714072015277,963.76753136736,1764.4412300532667,2704.876,12.602536974198657,0.5
76,2528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804.252811807896,1518.6953647364223,1063.3653688750787,1666.9719222129977,2704.876,0.0,0.5
77,2535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2207.8637336286806,1656.1813831375937,370.7508813434063,2353.7192649255057,2704.876,0.0,1.0
78,2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2145.499751804693,1618.8205281304197,468.3537312603124,2255.113710259868,2704.876,0.0,1.0
79,2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2086.06710328336,1586.8909492817706,566.7927849694286,2156.636538411836,2704.876,0.0,0.5
80,2532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2029.8232902246727,1560.7260239181633,665.6971883237479,2058.3061764306403,2704.876,0.0,0.5
81,2539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2482.062277327861,1852.663704505872,72.14791196211245,2749.1487683813384,2704.876,96.73590468931992,0.0
82,2538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2410.2158916597887,1797.2218877134972,93.46739705750088,2650.1628328815086,2704.876,0.0,0.0
83,2537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.437565068228,1745.752009749281,179.629700031353,2551.255960379984,2704.876,0.0,0.0
84,2536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.917773101427,1698.6151711343584,274.8764383952762,2452.437716739087,2704.876,104.9237014887162,0.5
85,2540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2555.8023218483618,1911.731922758348,147.22204249206987,2848.205523675524,2704.876,40.32759259458712,0.0
86,2559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.729993432252,5910.8512631774665,1215.2427164356463,2282.2191828584023,3669.111,73.45489885792507,1.0
87,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.5990060762435,6007.977738112677,1311.2124599479534,2382.2102096840645,3669.111,0.0,1.666666666666667
88,2311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.51992555502176,4480.728072605338,461.4084914314748,757.8998262202495,3669.111,10.612780708621292,1.0
89,2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.8567603896834,4573.243938157836,532.2094212892385,849.0086695190881,3669.111,0.0,1.0
90,2315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.2919014916564,4114.168002917756,362.62916902665313,434.5069095575877,3669.111,255.0180486864705,0.0
91,2314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.0292423083589,4205.236616842177,349.0696544212518,505.1736995388092,3669.111,82.52391605531662,0.5
92,2313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.6179458021136,4296.702398759271,363.5920429964136,584.4694341698167,3669.111,60.852139774792434,0.5
93,2312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407.15314475975225,4388.540515460816,403.1731197703813,669.3343056887279,3669.111,0.0,0.5
94,2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0937147032233,3754.4414086891,379.8560962125309,350.966965178058,3669.111,105.72534694725132,0.0
95,2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0897361840348,3843.626871696948,359.80529461548133,331.032718652474,3669.111,0.0,0.0
96,2317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.7119310149209,3933.3325080427903,366.9180930507188,340.5691581903092,3669.111,0.0,0.0
97,2316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.5515000911378,4023.5235256299766,399.7471260100571,377.3484897571405,3669.111,0.0,0.0
98,2323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.9652016973268,3403.715597071372,635.3048691207746,614.456520152614,3669.111,0.0,0.0
99,2322,0.0,0.0,0.0,0.0,9159.44,0.0,0.0,0.0,688.893147262313,3490.4036576660146,555.6816623274924,532.8811342601795,3669.111,0.0,0.0
100,2321,0.0,0.0,0.0,0.0,9159.44,0.0,0.0,0.0,651.578652842185,3577.7863789768885,483.6856249037248,458.6585133447426,3669.111,0.0,0.0
101,2320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.1206543289551,3665.8140850554873,423.2272420327205,395.9454520449798,3669.111,0.0,0.0
