대여소�,보관소(,자치구,상세주�,위도,경도,BASE_DATE,ADM_DR_CD,ADM_DR_NM,OBJECTID,재작성 산출물_일별대여평균이용량
"1101",개화동상사마을종점 버스정류장,강서구,서울특별시 강서구 개화동로5길 3-8,37.581612000000000,126.798598999999996,"20200630","1116071",방화2동,"257","4.152054794520548"
"1102",방화사거리 마을버스 버스정류장,강서구,서울특별시 강서구 양천로17길 6,37.573642999999997,126.811806000000004,"20200630","1116070",방화1동,"256","29.610958904109587"
"1103",방화역 4번출구앞,강서구,서울특별시 강서구 금낭화로 135,37.577221000000002,126.812195000000003,"20200630","1116072",방화3동,"258","31.153424657534245"
"1105",방화근린공원,강서구,서울특별시 강서구 금낭화로 176,37.581623000000000,126.812652999999997,"20200630","1116072",방화3동,"258","7.308219178082192"
"1106",신방화사거리,강서구,서울특별시 강서구 방화대로 342,37.573031999999998,126.816451999999998,"20200630","1116070",방화1동,"256","33.794520547945204"
"1108",공항시장역 2번출구 뒤,강서구,서울특별시 강서구 방화동로 지하 30,37.563560000000003,126.810149999999993,"20200630","1116071",방화2동,"257","17.980821917808218"
"1109",공항시장역 4번출구,강서구,서울특별시 강서구 방화동로 지하 30,37.563347000000000,126.810485999999997,"20200630","1116069",공항동,"255","12.391780821917807"
"1110",공항중학교앞,강서구,서울특별시 강서구 방화대로 241,37.562683000000000,126.816237999999998,"20200630","1116069",공항동,"255","16.052054794520547"
"1111",마곡엠밸리6_7단지 마곡중학교,강서구,서울특별시 강서구 마곡중앙5로 58,37.566982000000003,126.821799999999996,"20200630","1116070",방화1동,"256","23.21780821917808"
"1112",마곡엠밸리4단지 정문,강서구,서울특별시 강서구 마곡서로 175,37.568576999999998,126.824776000000000,"20200630","1116064",가양1동,"251","73.83424657534246"
"1113",서남환경공원 버스정류장,강서구,서울특별시 강서구 양천로 201,37.573093000000000,126.822899000000007,"20200630","1116064",가양1동,"251","31.732876712328768"
"1114",서남물재생센터 버스정류장,강서구,서울특별시 강서구 양천로 200,37.572780999999999,126.826279000000000,"20200630","1116064",가양1동,"251","2.415068493150685"
"1115",등촌역 1번출구옆,강서구,서울특별시 강서구 공항대로59길 8,37.551665999999997,126.864090000000004,"20200630","1116052",등촌1동,"242","26.53013698630137"
"1117",스타벅스앞,강서구,서울특별시 강서구 공항대로 329,37.558197000000000,126.844261000000003,"20200630","1116054",등촌3동,"244","53.9013698630137"
"1118",증미역 3번출구뒤(등촌두산위브센티움오피스텔),강서구,서울특별시 강서구 양천로 지하 560,37.557461000000004,126.861457999999999,"20200630","1116052",등촌1동,"242","67.20821917808219"
"1119",염창동 한마음아파트앞(염창동 빛나는 음악학원앞),강서구,서울특별시 강서구 양천로 637,37.554253000000003,126.867560999999995,"20200630","1116051",염창동,"241","45.04520547945206"
"1120",대림경동아파트앞,강서구,서울특별시 강서구 허준로 121,37.565188999999997,126.853995999999995,"20200630","1116065",가양2동,"252","38.73287671232877"
"1121",가양레포츠센터앞,강서구,서울특별시 강서구 양천로61길 101,37.559479000000003,126.864379999999997,"20200630","1116066",가양3동,"253","31.9986301369863"
"1122",황금내근린공원,강서구,서울특별시 강서구 허준로 221-40,37.561931999999999,126.863868999999994,"20200630","1116066",가양3동,"253","50.16849315068493"
"1124",발산역 6번 출구 뒤,강서구,서울특별시 강서구 공항대로 280,37.557968000000002,126.838286999999994,"20200630","1116074",우장산동,"260",
"1125",명덕고교입구(영종빌딩),강서구,서울특별시 강서구 강서로 304,37.552914000000001,126.836571000000006,"20200630","1116067",발산1동,"254","48.37945205479452"
"1126",우장산역 1번출구옆(우장산아이파크105동앞),강서구,서울특별시 강서구 강서로 지하 262,37.548907999999997,126.836562999999998,"20200630","1116074",우장산동,"260","29.568493150684933"
"1127",화곡역(에이스정형외과앞) 버스정류장,강서구,서울특별시 강서구 화곡로 157,37.540981000000002,126.838547000000005,"20200630","1116073",화곡1동,"259","30.81095890410959"
"1128",화곡역 6번출구,강서구,서울특별시 강서구 화곡로 지하 168,37.541412000000001,126.840225000000004,"20200630","1116073",화곡1동,"259","23.83150684931507"
"1129",화곡역 1번 출구 앞,강서구,서울특별시 강서구 화곡로 지하 168,37.542099000000000,126.840217999999993,"20200630","1116074",우장산동,"260","31.442465753424656"
"1130",화곡본동시장 버스정류장,강서구,서울특별시 강서구 화곡로 196,37.542751000000003,126.842620999999994,"20200630","1116055",화곡본동,"245","12.863013698630136"
"1131",꿈돌이공원 앞,강서구,서울특별시 강서구 화곡로 232,37.546444000000001,126.845459000000005,"20200630","1116055",화곡본동,"245","38.81506849315068"
"1132",등촌역 7번출구,강서구,서울특별시 강서구 공항대로 지하 529,37.551108999999997,126.863708000000003,"20200630","1116053",등촌2동,"243","32.42328767123288"
"1135",강서구의회,강서구,서울특별시 강서구 등촌로 185,37.546531999999999,126.862549000000001,"20200630","1116053",등촌2동,"243","28.026027397260275"
"1136",등촌2파출소,강서구,서울특별시 강서구 등촌로 167,37.544787999999997,126.861999999999995,"20200630","1116053",등촌2동,"243","16.482191780821918"
"1137",등촌2동주민센터,강서구,서울특별시 강서구 등촌로 143,37.541431000000003,126.863219999999998,"20200630","1116053",등촌2동,"243","9.597260273972603"
"1139",용문사 버스정류장,강서구,서울특별시 강서구 등촌로 95,37.536991000000000,126.863365000000002,"20200630","1116053",등촌2동,"243","26.053424657534247"
