,fid,공원_distance,대학교_distance,지하철_distance,버스_distance,경사도_mean,거주인구,도로길이,sum,LUM
0,35,608.3335153032876,2127.677825316755,1172.1249836065622,30.24430529051395,0.0,23824,60.760902360582,3939.84,0.0
1,36,602.7206901930308,2112.893293462695,1249.5247498659223,24.877114835210747,0.5,38802,72.4337080531064,3732.81,0.0
2,37,600.5678694349896,2102.7654920096093,1329.9423696618746,115.5768759531485,1.0,38802,0.0,0.0,0.0
3,38,614.8908694399148,2097.3618817072397,1412.8626244189802,214.70125405723743,1.0,14978,0.0,0.0,0.0
4,39,644.5923339263542,2096.718988066623,1497.869943321445,314.3798873319295,0.5,14978,0.0,0.0,0.0
5,40,687.6825231918733,2100.841181675067,1584.628480588144,373.677984651292,0.5,14978,0.0,0.0,0.0
6,41,741.8319948350291,2109.700530867225,1672.8657921795002,426.1067177377898,0.5,14978,0.0,0.0,0.0
7,42,804.8115583975853,2123.237738191624,1762.3597755737128,485.9686344045826,0.5,14978,0.0,0.0,0.0
8,43,874.7159885425616,2141.364088484813,1825.10645371284,557.4617194770393,1.0,14978,0.0,0.0,0.0
9,44,950.0178718341332,2163.964262561057,1842.7578853023235,636.6797468681316,1.0,14978,0.0,0.0,0.0
10,45,1029.5335512275092,2190.899815931225,1865.6095999416857,614.0606321422001,1.5,14978,0.0,0.0,0.0
11,46,1112.3597392555398,2222.0130919686767,1893.4733254110265,532.7386370903687,1.5,14978,0.0,0.0,0.0
12,95,508.392329199254,2029.2210367734588,1109.3585897430062,117.15649388919338,0.5,23824,107.737193662636,21381.75,0.02496899834177212
13,96,503.37731057592,2013.713771205952,1190.8449181022995,80.40718910553795,0.5,23824,91.7364077516787,4526.58,0.13526376937404838
14,97,500.7976158230034,2003.0845698081453,1274.969114004249,138.58015910817397,1.0,38802,67.8204326967607,0.0,0.0
15,98,517.8873129742368,1997.411309786641,1361.242207957245,195.683786612982,1.0,38802,78.53008018118379,0.0,0.0
16,99,552.8252595362571,1996.7362350415851,1449.2804905029666,233.78721424801844,1.0,38802,0.0,0.0,0.0
17,100,602.5145209359189,2001.064404110971,1538.7810162411845,290.4293155593212,1.0,38802,0.0,0.0,0.0
18,101,663.6499152487742,2010.36350237088,1629.5028616425286,344.88881180344947,0.5,14978,0.0,0.0,0.0
19,102,733.3744976460573,2024.5650345531603,1713.2955602741438,416.5895769444156,0.5,14978,0.0,0.0,0.0
20,103,809.4717903026848,2043.566796511258,1726.3039239259683,498.1414825812909,1.5,14978,0.0,0.0,0.0
21,104,890.3092083710638,2067.236423265162,1744.9550995224015,575.9744490456206,1.5,14978,0.0,0.0,0.0
22,105,974.7080975561072,2095.4157374497267,1769.070620868182,563.7762138453668,1.5,14978,0.0,0.0,0.0
23,106,1061.8195449701657,2127.925586344016,1798.4306838342457,476.7895441448642,0.5,14978,0.0,0.0,0.0
24,107,1151.0278443408895,2164.570856891421,1832.783262742256,392.5146301169374,0.5,14978,0.0,0.0,0.0
25,108,1241.8812070863823,2205.145390484768,1871.8535072187576,317.5006736333102,0.5,14978,0.0,0.0,0.0
26,109,1334.0435706142,2249.436573244822,1915.352739697254,259.8943979878494,0.5,14978,0.0,0.0,0.0
27,110,1427.2613796316816,2297.229441331344,1962.9865468502524,232.9871153087988,0.5,14978,0.0,0.0,0.0
