,grid,rank
2388,3211,1
647,1121,2
608,1061,3
646,1120,4
607,1060,5
569,1002,6
689,1182,7
688,1181,8
568,1001,9
426,808,10
648,1122,11
1459,2060,12
931,1460,13
2264,3027,14
1761,2416,15
2066,2781,16
1510,2120,17
1094,1640,18
734,1241,19
784,1298,20
1040,1580,21
1095,1641,22
2170,2907,23
2072,2787,24
729,1236,25
1561,2180,26
1711,2357,27
1356,1940,28
2218,2967,29
2117,2843,30
1971,2665,31
2118,2844,32
292,625,33
2259,3022,34
782,1296,35
785,1299,36
2167,2904,37
2122,2848,38
837,1356,39
2121,2847,40
2069,2784,41
2217,2966,42
1562,2181,43
1762,2417,44
1875,2548,45
2017,2721,46
946,1475,47
766,1280,48
1197,1758,49
526,941,50
1973,2667,51
2165,2902,52
2021,2725,53
1611,2239,54
2168,2905,55
767,1281,56
1918,2601,57
1715,2361,58
1966,2660,59
1969,2663,60
2263,3026,61
1509,2119,62
985,1519,63
2635,3826,64
149,391,65
254,565,66
1612,2240,67
2070,2785,68
820,1339,69
2212,2961,70
627,1101,71
337,687,72
1147,1700,73
2216,2965,74
1039,1579,75
1163,1716,76
2417,3263,77
549,982,78
891,1415,79
1874,2547,80
1974,2668,81
1041,1581,82
1458,2059,83
2164,2901,84
2265,3028,85
1109,1655,86
843,1362,87
2071,2786,88
687,1180,89
1972,2666,90
875,1399,91
822,1341,92
2261,3024,93
2491,3383,94
2065,2780,95
2262,3025,96
1712,2358,97
986,1520,98
1357,1941,99
1145,1698,100
1001,1535,101
2162,2899,102
1560,2179,103
1003,1537,104
1511,2121,105
2116,2842,106
732,1239,107
2068,2783,108
2219,2968,109
1924,2607,110
1926,2609,111
255,566,112
948,1477,113
2166,2903,114
1613,2241,115
2119,2845,116
1164,1717,117
389,755,118
2308,3087,119
1461,2062,120
1564,2183,121
1663,2300,122
839,1358,123
1714,2360,124
1923,2606,125
258,569,126
1975,2669,127
2016,2720,128
1303,1880,129
2309,3088,130
253,564,131
61,216,132
945,1474,133
380,746,134
185,452,135
683,1176,136
2115,2841,137
2342,3142,138
2025,2729,139
2161,2898,140
781,1295,141
2123,2849,142
2215,2964,143
2260,3023,144
1216,1777,145
1920,2603,146
506,921,147
1002,1536,148
1198,1759,149
1507,2117,150
1776,2431,151
218,507,152
840,1359,153
1148,1701,154
1407,1999,155
2022,2726,156
2169,2906,157
2266,3029,158
1355,1939,159
1460,2061,160
1925,2608,161
1717,2363,162
731,1238,163
988,1522,164
989,1523,165
1354,1938,166
1408,2000,167
2343,3143,168
425,807,169
2350,3150,170
2028,2732,171
2527,3443,172
1000,1534,173
1304,1881,174
1096,1642,175
836,1355,176
892,1416,177
2120,2846,178
1967,2661,179
296,629,180
396,762,181
1405,1997,182
2073,2788,183
668,1161,184
1302,1879,185
381,747,186
765,1279,187
1162,1715,188
2258,3021,189
1247,1816,190
1324,1901,191
821,1340,192
1970,2664,193
833,1352,194
1566,2185,195
832,1351,196
1004,1538,197
1514,2124,198
1559,2178,199
2453,3322,200
1055,1595,201
1149,1702,202
2020,2724,203
333,683,204
1059,1599,205
844,1363,206
1964,2658,207
2019,2723,208
550,983,209
1042,1582,210
1565,2184,211
876,1400,212
1558,2177,213
336,686,214
947,1476,215
1716,2362,216
714,1221,217
2310,3089,218
950,1479,219
1827,2491,220
1058,1598,221
951,1480,222
1825,2489,223
507,922,224
422,804,225
987,1521,226
1054,1594,227
1787,2442,228
602,1055,229
1006,1540,230
2064,2779,231
1093,1639,232
335,685,233
343,693,234
1215,1776,235
118,333,236
877,1401,237
2112,2838,238
1250,1819,239
882,1406,240
1563,2182,241
256,567,242
1915,2598,243
433,815,244
1826,2490,245
2303,3082,246
2305,3084,247
2023,2727,248
555,988,249
937,1466,250
1873,2546,251
290,623,252
465,863,253
2349,3149,254
119,334,255
896,1420,256
440,822,257
1614,2242,258
2452,3321,259
2024,2728,260
2172,2909,261
2454,3323,262
1108,1654,263
1610,2238,264
2014,2718,265
1111,1657,266
736,1243,267
1273,1842,268
464,862,269
1114,1660,270
1251,1820,271
2213,2962,272
2490,3382,273
730,1237,274
1813,2477,275
1927,2610,276
1202,1763,277
293,626,278
1057,1597,279
378,744,280
1661,2298,281
1876,2549,282
934,1463,283
1567,2186,284
556,989,285
1506,2116,286
1618,2246,287
1660,2297,288
88,274,289
